state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,est_tilt_angle_degrees,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,112,0,0.0,0.0,4.89057843,38.77725220,100973.32812500,0.53441352,0.84158558,-0.08550335,-0.00173217,-0.00320852,1.00058067,-0.21518758,-0.27713951,0.04204551,-32.95903778,-14.89752674,-27.18472290,-0.04902374,-0.00038129,0.00000108,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127699915830
S,112,0,0.0,0.0,4.89057843,38.77725220,100973.32812500,0.53441352,0.84158558,-0.08550335,-0.00173217,-0.00320852,1.00058067,-0.21518758,-0.27713951,0.04204551,-32.95903778,-14.89752674,-27.18472290,-0.04902374,-0.00038129,0.00000108,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127710961154
S,112,0,0.0,0.0,4.89057843,38.77725220,100973.32812500,0.53441352,0.84158558,-0.08550335,-0.00173217,-0.00320852,1.00058067,-0.21518758,-0.27713951,0.04204551,-32.95903778,-14.89752674,-27.18472290,-0.04902374,-0.00038129,0.00000108,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127721983423
S,112,0,0.0,0.0,24.18147363,31.18624878,101667.64062500,-0.88764369,0.42859223,-0.15866679,-0.82026017,-0.55972135,-0.10326199,0.18323337,0.13231693,-0.12278105,-37.49620438,-25.48962212,-10.58437634,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127742139481
S,112,0,0.0,0.0,24.19328042,31.19461060,101667.40625000,-0.88971931,0.42920446,-0.15830241,-0.82153744,-0.56139004,-0.10389435,0.19849215,-0.04315913,0.09847137,-37.47993469,-25.40285683,-10.58532143,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127743907944
S,112,0,0.0,0.0,24.20415227,31.18614197,101667.56250000,-0.88642418,0.43054557,-0.15830028,-0.81988609,-0.56014478,-0.10099976,0.28241548,-0.12708247,-0.00834014,-37.44378662,-25.39056206,-10.64685535,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127754911176
S,112,0,0.0,0.0,24.21675566,31.19393921,101668.15625000,-0.88850003,0.43005875,-0.15964337,-0.82197648,-0.56012166,-0.10240669,0.25189790,-0.00501217,-0.19907500,-37.51675034,-25.37775803,-10.53024006,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127765901964
S,112,0,0.0,0.0,24.22957908,31.18730164,101667.23437500,-0.88910973,0.42834926,-0.16049735,-0.82238150,-0.55911672,-0.10409465,0.22138032,-0.02027095,-0.29825711,-37.41300583,-25.44739532,-10.62214661,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127776938028
S,112,0,0.0,0.0,24.24068992,31.19586182,101667.39062500,-0.88923287,0.42834955,-0.16196111,-0.82347429,-0.55813694,-0.10403386,0.23663911,-0.11182369,-0.09226348,-37.55655670,-25.45725632,-10.59027195,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127787916224
S,112,0,0.0,0.0,24.25329325,31.18211365,101666.60937500,-0.89106482,0.42871749,-0.16257231,-0.82518983,-0.55886829,-0.10465591,0.24426851,-0.16522944,0.09847137,-37.49745560,-25.40838242,-10.62178707,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127798919511
S,112,0,0.0,0.0,24.26547883,31.18759155,101666.62500000,-0.88874346,0.42749408,-0.16135079,-0.82245135,-0.55793810,-0.10454178,0.32056245,0.01024662,0.04506562,-37.43669891,-25.47209358,-10.59115982,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127809945298
S,112,0,0.0,0.0,24.27723136,31.18682861,101667.14062500,-0.88691247,0.42834762,-0.16073976,-0.82114768,-0.55772901,-0.10289519,0.08405124,-0.03552974,0.21291229,-37.50820923,-25.45764351,-10.65179253,-0.04902374,-0.00038129,0.00000109,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127820964197
