state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,est_tilt_angle_degrees,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,112,0,0.0,0.0,5.04426277,37.91088867,100983.18750000,0.55418903,0.83107108,-0.07684164,-0.00522143,0.00184584,1.00183761,0.41805214,1.11903965,-0.36231238,-32.43118286,-15.03716660,-27.84926033,-0.00370386,-0.03968832,0.00011225,0.64892018,0.64078104,0.35387745,0.20754051,11.89712811,,,,6,0,1774476531759152962
S,112,0,0.0,0.0,5.05585653,37.91543579,100982.51562500,0.55176681,0.82350731,-0.06576387,0.00400633,-0.00387549,0.99343067,0.86818641,-0.56705648,0.02678672,-32.52780151,-15.08092308,-27.76207542,-0.00515329,-0.04213461,0.00011917,0.64886433,0.64081573,0.35391042,0.20755163,11.89851856,,,,6,0,1774476531759152962
S,112,0,0.0,0.0,5.06677989,37.91001892,100982.31250000,0.56224674,0.83253306,-0.06696849,0.00646228,-0.00107843,1.00681400,0.52486366,0.69942296,-0.10291298,-32.49769592,-15.08097458,-27.69459915,-0.00401428,-0.03923814,0.00011098,0.64882040,0.64082533,0.35397035,0.20755723,11.90269184,,,,6,0,1774476531759152962
S,112,0,0.0,0.0,5.07831111,37.91166687,100982.42187500,0.55701810,0.81898618,-0.06271590,0.01100048,-0.00096089,0.99238056,0.11287637,-0.10166345,0.18700400,-32.54043198,-15.03689766,-27.76609612,-0.00362695,-0.03820870,0.00010807,0.64881301,0.64080906,0.35399774,0.20758413,11.90277481,,,,6,0,1774476531759152962
S,112,0,0.0,0.0,5.08929710,37.90827942,100982.51562500,0.56017596,0.82984877,-0.06660609,0.00639108,-0.00136364,1.00341415,-0.17704061,-0.35343346,0.04204551,-32.54399490,-15.14372158,-27.68940163,-0.00529860,-0.04054733,0.00011468,0.64880717,0.64083630,0.35396859,0.20756790,11.90156651,,,,6,0,1774476531759152962
S,112,0,0.0,0.0,5.09906766,37.93090820,100982.32812500,0.56041431,0.83375484,-0.06891839,0.00348592,-0.00132918,1.00694954,-0.28385213,0.70705235,0.14122763,-32.54354095,-15.02430344,-27.69487762,-0.00565667,-0.03963687,0.00011210,0.64883101,0.64080966,0.35396573,0.20758045,11.90052319,,,,6,0,1774476531759152962
S,112,0,0.0,0.0,5.10731091,37.91079712,100982.89062500,0.55078512,0.82497150,-0.07075764,-0.00070465,-0.00168848,0.99445742,-0.44406939,0.11195958,0.43877399,-32.39879227,-15.09378433,-27.74934769,-0.00500590,-0.03818670,0.00010801,0.64884710,0.64079601,0.35395017,0.20759885,11.89792252,,,,1,0,1774476531759510755
S,112,0,0.0,0.0,5.10731091,37.91079712,100982.89062500,0.55078512,0.82497150,-0.07075764,-0.00070465,-0.00168848,0.99445742,-0.44406939,0.11195958,0.43877399,-32.39879227,-15.09378433,-27.74934769,-0.00500590,-0.03818670,0.00010801,0.64884710,0.64079601,0.35395017,0.20759885,11.89792252,,,,1,0,1774476531810314476
S,112,0,0.0,0.0,5.10731091,37.91079712,100982.89062500,0.55078512,0.82497150,-0.07075764,-0.00070465,-0.00168848,0.99445742,-0.44406939,0.11195958,0.43877399,-32.39879227,-15.09378433,-27.74934769,-0.00500590,-0.03818670,0.00010801,0.64884710,0.64079601,0.35395017,0.20759885,11.89792252,,,,1,0,1774476531811211263
S,112,0,0.0,0.0,5.10731091,37.91079712,100982.89062500,0.55078512,0.82497150,-0.07075764,-0.00070465,-0.00168848,0.99445742,-0.44406939,0.11195958,0.43877399,-32.39879227,-15.09378433,-27.74934769,-0.00500590,-0.03818670,0.00010801,0.64884710,0.64079601,0.35395017,0.20759885,11.89792252,,,,1,0,1774476531812167457
