state_letter,set_extension,encoder_position,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_x_meters,est_position_y_meters,est_position_z_meters,est_velocity_x_meters_per_s,est_velocity_y_meters_per_s,est_velocity_z_meters_per_s,est_acceleration_x_gs,est_acceleration_y_gs,est_acceleration_z_gs,est_angular_rate_x_rad_per_s,est_angular_rate_y_rad_per_s,est_angular_rate_z_rad_per_s,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089843972162
S,74,0,30.79140760,37.99749756,101903.04687500,0.66415584,-0.70911640,0.01409637,0.10939303,0.12562607,0.23163456,-42.21357346,-4.16826963,-19.90102577,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089858994388
S,74,0,30.80161345,37.99560547,101902.96875000,0.66452205,-0.71033710,0.01202117,0.07124606,-0.08799697,-0.08880000,-42.44654846,-4.68119574,-20.05504417,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089866963275
S,74,0,30.81396207,38.00282288,101904.07812500,0.66525447,-0.71119159,0.00884734,0.13991061,0.09510849,-0.17272334,-42.40021133,-4.46980953,-20.06838799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089879064060
S,74,0,30.82513695,38.00244141,101903.84375000,0.66671932,-0.71094745,0.01238738,-0.06608303,0.07222031,0.05615849,-42.37507248,-4.47726870,-20.03244972,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089890103481
S,74,0,30.83734914,37.98666382,101903.71875000,0.66574275,-0.71180195,0.01116668,-0.02793606,0.11036728,0.04852910,-42.29107666,-4.31978178,-19.96094131,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089899963170
S,74,0,30.84831883,38.00234985,101904.60937500,0.66562068,-0.71277851,0.01275359,-0.01267727,-0.14903212,-0.17272334,-42.29851913,-4.36348867,-19.98270988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089912107991
S,74,0,30.86003654,37.99426270,101903.09375000,0.66354549,-0.71216816,0.01055633,-0.02793606,0.20192000,0.00275273,-42.36991501,-4.40294695,-20.12882423,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089923053042
S,74,0,30.87232030,38.00006104,101902.73437500,0.66342342,-0.71363300,0.01226531,0.23146334,0.03407334,0.17059940,-42.42811203,-4.44897223,-19.97640038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089932948861
S,74,0,30.88349542,37.99673462,101904.95312500,0.66439998,-0.71058124,0.01250945,-0.01267727,0.10273788,-0.05828242,-42.15517807,-4.10286617,-20.06007385,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089945057348
S,74,0,30.89718638,37.99873352,101905.62500000,0.66220272,-0.71094745,0.01434051,0.07887545,0.02644394,0.08667607,-42.28814697,-4.37956953,-20.04608536,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089956058807
S,74,0,30.90975892,37.98951721,101903.64062500,0.66427791,-0.70984882,0.01275359,-0.07371242,0.07222031,0.16297001,-42.22249985,-4.21579075,-19.98110008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089965960292
S,74,0,30.92074540,38.00473022,101904.76562500,0.66513240,-0.71082538,0.01202117,0.05598727,-0.04222060,-0.02013545,-42.32513046,-4.28579760,-19.88131523,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089978065595
S,74,0,30.93229561,38.00549316,101902.71875000,0.66549861,-0.71131366,0.01263152,0.11702242,0.16377303,-0.02776485,-42.26474762,-4.01998472,-20.11271095,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089989062313
S,74,0,30.94433686,38.00387573,101903.71875000,0.66317928,-0.70936054,0.00896941,-0.05845364,-0.11088515,-0.02776485,-42.31116486,-4.39583921,-19.97584915,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633089998964520
S,74,0,30.95604305,37.99208069,101903.96875000,0.66525447,-0.71143574,0.01202117,-0.06608303,-0.03459121,-0.14220576,-42.26568985,-4.32112265,-19.91940308,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090011063767
S,74,0,30.96842180,38.00093079,101903.45312500,0.66745174,-0.71155781,0.00933562,-0.04319485,0.14851424,-0.02013545,-42.48078537,-4.74563646,-19.90716171,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090022109873
S,74,0,30.98043219,38.00244141,101903.15625000,0.66378963,-0.71131366,0.01067840,0.00258151,0.12562607,-0.07354121,-42.43988419,-4.83357191,-19.91433334,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090031955988
