state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,est_tilt_angle_degrees,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,112,0,0.0,0.0,10.89748708,37.42237854,101052.62500000,0.52042919,0.83912235,-0.17320654,-0.01266894,-0.01145351,1.00233817,-0.33725786,0.08144201,1.91887641,-38.25520706,-11.76681137,-22.52123260,0.08527606,0.00697766,0.00001975,0.62851876,0.69925231,0.31357083,0.13298042,15.76504421,,,,5,0,1774473758076182511
S,112,0,0.0,0.0,10.90797680,37.41117859,101053.01562500,0.52056569,0.82899034,-0.16724253,-0.00570625,-0.01173639,0.99298209,-0.38303423,1.81331444,0.40825641,-38.14649582,-11.81737328,-22.64795685,0.08693627,0.00912452,0.00002583,0.62853497,0.69925672,0.31350783,0.13302904,15.75619411,,,,5,0,1774473758076182511
S,112,0,0.0,0.0,10.91830682,37.39860535,101052.14062500,0.52225405,0.82360685,-0.19257540,-0.01724881,0.01148343,0.99384773,1.24965608,-3.20682693,-0.96503448,-38.19359970,-11.85497475,-22.63721085,0.08521394,0.00574167,0.00001625,0.62853181,0.69925737,0.31351572,0.13302170,15.75747585,,,,5,0,1774473758076182511
S,112,0,0.0,0.0,10.93019375,37.40759277,101052.14062500,0.51461530,0.82656318,-0.14203843,0.00568607,-0.03395379,0.98337454,3.21803975,2.36263084,-2.16284943,-38.21374512,-11.82976341,-22.53681564,0.08799512,0.00720855,0.00002040,0.62821358,0.69947672,0.31362501,0.13311456,15.77482128,,,,5,0,1774473758076182511
S,112,0,0.0,0.0,10.94082620,37.40402222,101052.12500000,0.56872290,0.85190338,-0.16572706,0.02337515,-0.00367928,1.03734803,5.18642330,3.10268211,-0.77429968,-38.28241730,-11.79817486,-22.51272392,0.08770874,0.00907736,0.00002569,0.62800884,0.69937664,0.31417921,0.13329962,15.80604553,,,,5,0,1774473758076182511
S,112,0,0.0,0.0,10.95119561,37.40681458,101051.87500000,0.52146286,0.81068587,-0.13801895,0.01922429,-0.02770174,0.97316360,1.11995637,-1.24607253,1.04912555,-37.89292526,-11.85564613,-22.58929443,0.08847013,0.01055943,0.00002989,0.62788630,0.69943070,0.31425789,0.13340718,15.80916691,,,,1,0,1774473758076608924
S,112,0,0.0,0.0,10.95433805,37.40681458,101051.87500000,0.53195417,0.82081550,-0.12606978,0.03033307,-0.03724408,0.98503798,-1.68766057,-1.04007888,1.24748981,-38.15185547,-11.83618355,-22.51107788,0.08847013,0.01055943,0.00002989,0.62788630,0.69943070,0.31425789,0.13340718,15.80916691,,,,1,0,1774473758129571693
S,112,0,0.0,0.0,10.95433805,37.40681458,101051.87500000,0.53195417,0.82081550,-0.12606978,0.03033307,-0.03724408,0.98503798,-1.68766057,-1.04007888,1.24748981,-38.15185547,-11.83618355,-22.51107788,0.08847013,0.01055943,0.00002989,0.62788630,0.69943070,0.31425789,0.13340718,15.80916691,,,,1,0,1774473758130472749
S,112,0,0.0,0.0,10.95433805,37.40681458,101051.87500000,0.53195417,0.82081550,-0.12606978,0.03033307,-0.03724408,0.98503798,-1.68766057,-1.04007888,1.24748981,-38.15185547,-11.83618355,-22.51107788,0.08847013,0.01055943,0.00002989,0.62788630,0.69943070,0.31425789,0.13340718,15.80916691,,,,1,0,1774473758131466267
S,112,0,0.0,0.0,10.95433805,37.40681458,101051.87500000,0.53195417,0.82081550,-0.12606978,0.03033307,-0.03724408,0.98503798,-1.68766057,-1.04007888,1.24748981,-38.15185547,-11.83618355,-22.51107788,0.08847013,0.01055943,0.00002989,0.62788630,0.69943070,0.31425789,0.13340718,15.80916691,,,,1,0,1774473758132456914
