state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,est_tilt_angle_degrees,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,112,0,0.0,0.0,9.85174240,37.94627380,100977.96875000,0.55713439,0.82716739,-0.06112940,0.00942385,-0.00565827,0.99910986,0.27309364,0.10433019,0.14885703,-32.18253326,-14.49729919,-28.29687881,0.06184769,0.00163312,0.00000462,0.64590722,0.63607126,0.36248377,0.21638595,11.88617229,,,,6,0,1774476316609840771
S,112,0,0.0,0.0,9.86338962,37.94134521,100978.03125000,0.55591553,0.82509226,-0.06222745,0.00851434,-0.00472140,0.99679327,-0.42881060,-0.33054528,0.40062702,-32.47726440,-14.59089661,-28.24191284,0.05984571,-0.00221037,0.00000625,0.64592081,0.63608199,0.36244100,0.21638529,11.88275623,,,,6,0,1774476316609840771
S,112,0,0.0,0.0,9.87365933,37.94210815,100978.64062500,0.55455911,0.83241600,-0.07111663,-0.00135136,-0.00287127,1.00274622,-1.10019732,-0.10166345,0.62187946,-32.47710419,-14.62233639,-28.29099846,0.05627786,-0.00778166,0.00002201,0.64597881,0.63608503,0.36236441,0.21633171,11.88118076,,,,6,0,1774476316609840771
S,112,0,0.0,0.0,9.88372306,37.93650818,100977.89062500,0.55480373,0.83033973,-0.07233510,-0.00150615,-0.00088090,1.00124943,-1.10019732,0.03566564,-0.04950722,-32.41299820,-14.61619473,-28.28186035,0.05454610,-0.01030738,0.00002915,0.64603609,0.63607496,0.36230463,0.21629015,11.88008499,,,,6,0,1774476316609840771
S,112,0,0.0,0.0,9.89630292,37.93370056,100977.85937500,0.54346424,0.82680875,-0.07222531,-0.00697097,-0.00600678,0.99201697,-0.04734090,-0.09403405,-0.11054237,-32.41576767,-14.63506222,-28.35787010,0.05651719,-0.00695132,0.00001966,0.64607775,0.63606113,0.36225978,0.21628173,11.87744808,,,,6,0,1774476316609840771
S,112,0,0.0,0.0,9.90675090,37.93891907,100978.10937500,0.55821735,0.82838190,-0.07562098,-0.00134110,0.00433713,1.00175905,0.72322792,0.38661778,0.27092734,-32.39541245,-14.54710388,-28.31653214,0.05659091,-0.00653412,0.00001848,0.64608723,0.63604742,0.36228487,0.21625154,11.88204288,,,,6,0,1774476316609840771
S,112,0,0.0,0.0,9.91140361,37.92636108,100977.76562500,0.55114466,0.82924354,-0.07355686,-0.00421265,-0.00165850,0.99839652,0.94448030,0.16536534,-0.28601843,-32.37462997,-14.52832127,-28.42244148,0.05621231,-0.00704009,0.00001991,0.64606744,0.63605136,0.36229903,0.21627535,11.88113022,,,,1,0,1774476316610366996
S,112,0,0.0,0.0,9.91140361,37.92636108,100977.76562500,0.55114466,0.82924354,-0.07355686,-0.00421265,-0.00165850,0.99839652,0.94448030,0.16536534,-0.28601843,-32.37462997,-14.52832127,-28.42244148,0.05621231,-0.00704009,0.00001991,0.64606744,0.63605136,0.36229903,0.21627535,11.88113022,,,,1,0,1774476316661218516
S,112,0,0.0,0.0,9.91140361,37.92636108,100977.76562500,0.55114466,0.82924354,-0.07355686,-0.00421265,-0.00165850,0.99839652,0.94448030,0.16536534,-0.28601843,-32.37462997,-14.52832127,-28.42244148,0.05621231,-0.00704009,0.00001991,0.64606744,0.63605136,0.36229903,0.21627535,11.88113022,,,,1,0,1774476316662142169
S,112,0,0.0,0.0,9.91140361,37.92636108,100977.76562500,0.55114466,0.82924354,-0.07355686,-0.00421265,-0.00165850,0.99839652,0.94448030,0.16536534,-0.28601843,-32.37462997,-14.52832127,-28.42244148,0.05621231,-0.00704009,0.00001991,0.64606744,0.63605136,0.36229903,0.21627535,11.88113022,,,,1,0,1774476316663119915
S,112,0,0.0,0.0,9.91140361,37.92636108,100977.76562500,0.55114466,0.82924354,-0.07355686,-0.00421265,-0.00165850,0.99839652,0.94448030,0.16536534,-0.28601843,-32.37462997,-14.52832127,-28.42244148,0.05621231,-0.00704009,0.00001991,0.64606744,0.63605136,0.36229903,0.21627535,11.88113022,,,,1,0,1774476316664126402
S,112,0,0.0,0.0,9.91140361,37.92636108,100977.76562500,0.55114466,0.82924354,-0.07355686,-0.00421265,-0.00165850,0.99839652,0.94448030,0.16536534,-0.28601843,-32.37462997,-14.52832127,-28.42244148,0.05621231,-0.00704009,0.00001991,0.64606744,0.63605136,0.36229903,0.21627535,11.88113022,,,,1,0,1774476316665116963
S,112,0,0.0,0.0,9.91140361,37.92636108,100977.76562500,0.55114466,0.82924354,-0.07355686,-0.00421265,-0.00165850,0.99839652,0.94448030,0.16536534,-0.28601843,-32.37462997,-14.52832127,-28.42244148,0.05621231,-0.00704009,0.00001991,0.64606744,0.63605136,0.36229903,0.21627535,11.88113022,,,,1,0,1774476316675170351
S,112,0,0.0,0.0,9.91140361,37.92636108,100977.76562500,0.55114466,0.82924354,-0.07355686,-0.00421265,-0.00165850,0.99839652,0.94448030,0.16536534,-0.28601843,-32.37462997,-14.52832127,-28.42244148,0.05621231,-0.00704009,0.00001991,0.64606744,0.63605136,0.36229903,0.21627535,11.88113022,,,,1,0,1774476316686157949
