state_letter,set_extension,encoder_position,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_x_meters,est_position_y_meters,est_position_z_meters,est_velocity_x_meters_per_s,est_velocity_y_meters_per_s,est_velocity_z_meters_per_s,est_acceleration_x_gs,est_acceleration_y_gs,est_acceleration_z_gs,est_angular_rate_x_rad_per_s,est_angular_rate_y_rad_per_s,est_angular_rate_z_rad_per_s,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,30,0,129.13338202,26.32379150,101616.98437500,-0.67014223,-0.65912688,0.33582500,-0.94781649,-0.85789233,0.17987186,-23.81784439,-42.14158249,-16.47441483,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02220055,-0.01972338,0.99931216,0.00133827,-0.02190427,0.00486912,0.04882583,-0.01887168,0.58389705,-0.81013834,,,,1,0,1771692777819226128
S,30,0,129.14463208,26.33166504,101615.84375000,-0.66928244,-0.66327798,0.33484995,-0.59686434,-0.95707446,0.05017215,-23.81165123,-42.12933731,-16.43167686,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02178073,-0.01977127,0.99935937,-0.00007388,-0.01710340,0.00473575,0.04851805,-0.01876439,0.58391982,-0.81014293,,,,1,0,1771692777830177629
S,30,0,129.15588436,26.33186340,101616.40625000,-0.66707784,-0.66633147,0.33204657,-0.53582925,-0.84263355,0.29431278,-23.78074837,-42.18985748,-16.40134048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02157764,-0.01977995,0.99943417,0.00114957,-0.01926460,0.00446685,0.04766514,-0.01947561,0.58402997,-0.81009734,,,,1,0,1771692777841174624
S,30,0,129.16707493,26.33110046,101615.81250000,-0.66511798,-0.66840822,0.33082822,-0.55871743,-0.56034595,-0.17870967,-23.85462952,-42.17763901,-16.40139580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02154504,-0.01977928,0.99946272,0.00133751,-0.01813756,-0.00085509,0.04711976,-0.01978678,0.58427256,-0.80994678,,,,1,0,1771692777852142769
S,30,0,129.17713731,26.34196472,101615.12500000,-0.66634381,-0.66486722,0.33326632,-0.42138830,-0.40775806,0.00439579,-23.84236526,-42.20815659,-16.46856308,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02157854,-0.01976459,0.99949384,0.00030286,-0.01409075,0.00460295,0.04688791,-0.01994326,0.58443362,-0.80984026,,,,1,0,1771692777863173202
S,30,0,129.18867020,26.32723999,101616.60937500,-0.66793752,-0.66315699,0.33168033,-0.37561193,-0.67478687,-0.01849239,-23.85494423,-42.06292343,-16.51689911,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02149881,-0.01981695,0.99952143,0.00030272,-0.01390061,-0.00032141,0.04714530,-0.01958952,0.58427846,-0.80994594,,,,1,0,1771692777874126700
S,30,0,129.19963420,26.32859802,101616.40625000,-0.67443198,-0.65765864,0.32875046,-0.23065346,-0.65952808,-0.05663937,-23.76259804,-42.11772156,-16.56574440,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02120482,-0.01972581,0.99945843,0.00124382,-0.01333696,0.00034213,0.04776211,-0.01904367,0.58428538,-0.80991787,,,,1,0,1771692777885142522
S,30,0,129.21091545,26.33244324,101617.17187500,-0.66781539,-0.66486603,0.32851005,-0.37561193,-0.48405200,0.05780155,-23.81189728,-42.05700302,-16.54121780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02097696,-0.01956866,0.99947387,0.00020925,-0.01136002,-0.00218573,0.04784029,-0.01912352,0.58456337,-0.80971056,,,,1,0,1771692777896092636
S,30,0,129.22136859,26.33032227,101616.17187500,-0.66609830,-0.66608810,0.33265677,-0.00177164,-0.36961108,0.01965458,-23.81781197,-42.14758301,-16.45613861,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02098749,-0.01951954,0.99956191,0.00020824,-0.00590075,0.00047658,0.04777519,-0.01983648,0.58424896,-0.80992430,,,,1,0,1771692777907090686
S,30,0,129.23297544,26.33369446,101616.92187500,-0.66720068,-0.66266924,0.33680201,0.36443928,0.19496407,-0.11004512,-23.81161499,-42.16571808,-16.44399261,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02086366,-0.01960461,0.99966991,0.00218508,0.00323052,-0.00005635,0.04761603,-0.01980513,0.58409595,-0.81004477,,,,1,0,1771692777918066469
S,30,0,129.24390130,26.33532715,101615.95312500,-0.66928864,-0.65851724,0.33033833,0.53991532,0.61458075,-0.07189815,-23.81773758,-42.25680542,-16.51747704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02065310,-0.01964050,0.99960923,-0.00176772,0.01132521,-0.00378281,0.04776644,-0.01951754,0.58397382,-0.81013101,,,,1,0,1771692777929098806
S,30,0,129.25463596,26.32897949,101617.57812500,-0.67528945,-0.65643722,0.32960358,0.96716142,0.79768622,-0.03375118,-23.79308128,-42.12911224,-16.35237122,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02011438,-0.01954029,0.99957222,0.00030268,0.01753901,-0.00311831,0.04825726,-0.01871771,0.58422279,-0.80994117,,,,1,0,1771692777940041356
S,30,0,129.26588841,26.33494568,101616.14062500,-0.67247081,-0.65936917,0.33070248,1.19604325,1.07997382,-0.12530391,-23.79319000,-42.15369415,-16.46222496,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01957364,-0.01951154,0.99945563,0.00227906,0.02648039,-0.00231927,0.04832136,-0.01828509,0.58434606,-0.80985838,,,,1,0,1771692777951069958
S,30,0,129.27588845,26.33311462,101615.12500000,-0.67136747,-0.66266596,0.32850820,1.31811357,1.16389716,-0.06426876,-23.83617973,-42.17162704,-16.40745163,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01934674,-0.01941930,0.99938589,0.00275051,0.02827217,-0.00218659,0.04789619,-0.01877697,0.58454585,-0.80972815,,,,1,0,1771692777962009622
S,30,0,129.28735004,26.34042358,101617.10937500,-0.66683543,-0.66437852,0.33033958,1.56225419,1.30885565,-0.04900997,-23.85460281,-42.14717484,-16.34641075,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01930763,-0.01919876,0.99921364,0.00180813,0.03354044,-0.00484808,0.04735585,-0.01949999,0.58513892,-0.80931443,,,,1,0,1771692777973030105
S,30,0,129.29838735,26.34378052,101616.14062500,-0.66402245,-0.66560149,0.32314682,1.76061845,1.49196100,-0.30840936,-23.86696243,-42.20198441,-16.44418144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01955527,-0.01914795,0.99919116,0.00002053,0.04286082,-0.00232017,0.04665450,-0.02056590,0.58522063,-0.80926961,,,,1,0,1771692777983982142
S,30,0,129.30963775,26.33110046,101615.96875000,-0.67467380,-0.66168672,0.32826260,1.95898259,1.79713678,-0.17108028,-23.84243393,-42.15362549,-16.46228790,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01930858,-0.01901535,0.99929911,0.00378514,0.04493137,-0.00405070,0.04779238,-0.01955511,0.58526736,-0.80919445,,,,1,0,1771692777995005602
S,30,0,129.32088993,26.32897949,101615.35937500,-0.66964984,-0.66034800,0.33911753,2.08868241,1.66743708,-0.33892694,-23.81155968,-42.17166138,-16.40741920,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01906908,-0.01906032,0.99916863,0.00058486,0.04832399,-0.00298479,0.04838479,-0.01899096,0.58490992,-0.80943114,,,,1,0,1771692778005957695
S,30,0,129.33165427,26.33061218,101616.07812500,-0.66793770,-0.66254663,0.33228999,1.82165360,1.68269587,-0.32366815,-23.87311554,-42.15941620,-16.39526176,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01884976,-0.01927757,0.99928427,0.00143213,0.04484194,-0.00564779,0.04756489,-0.01957767,0.58442682,-0.80981463,,,,1,0,1771692778016981906
S,30,0,129.34214275,26.33494568,101615.79687500,-0.66364861,-0.66889769,0.33070707,1.69195390,1.63691950,-0.17108028,-23.85460091,-42.15932846,-16.35864639,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01894520,-0.01929140,0.99937695,0.00322076,0.04512408,-0.00870949,0.04675692,-0.02018940,0.58470130,-0.80964845,,,,1,0,1771692778027930303
S,30,0,129.35380737,26.33888245,101616.21875000,-0.66426158,-0.66926342,0.32851189,1.54699540,1.50721979,-0.28552118,-23.83624840,-42.12924576,-16.41341400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01921370,-0.01924718,0.99938244,0.00171511,0.03966408,-0.00631335,0.04633904,-0.02076314,0.58490574,-0.80951029,,,,1,0,1771692778038918503
S,30,0,129.36463956,26.33206177,101614.51562500,-0.66254908,-0.66657925,0.32985407,1.60040116,1.48433161,-0.17870967,-23.82373428,-42.17738724,-16.30987740,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01965511,-0.01924608,0.99935549,0.00209116,0.03702623,-0.00445019,0.04593968,-0.02152181,0.58485848,-0.80954736,,,,1,0,1771692778049942325
S,30,0,129.37595887,26.33850098,101615.70312500,-0.67210305,-0.65766048,0.33423880,1.75298905,1.55299616,-0.37707391,-23.84245682,-42.08074188,-16.40106773,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01961182,-0.01925533,0.99935621,0.00642101,0.03796872,-0.00631329,0.04682256,-0.02033311,0.58492172,-0.80948192,,,,1,0,1771692778060927473
S,30,0,129.38602756,26.33772278,101614.54687500,-0.66842854,-0.66218001,0.33070457,1.81402421,1.71321344,-0.45336786,-23.80534172,-42.16543579,-16.35250473,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01922004,-0.01935486,0.99942958,0.00613851,0.03975455,-0.00657935,0.04766389,-0.01897598,0.58473456,-0.80960095,,,,1,0,1771692778071908904
S,30,0,129.39758542,26.33772278,101615.03125000,-0.66793638,-0.66193628,0.33582613,2.04290605,1.82765436,-0.43810907,-23.84837341,-42.16523743,-16.30986977,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01905277,-0.01934461,0.99945915,0.00406691,0.04521437,-0.00551450,0.04742713,-0.01899674,0.58488631,-0.80950463,,,,1,0,1771692778082905075
S,30,0,129.40839065,26.33638000,101614.70312500,-0.66426164,-0.66718823,0.33156028,2.08105302,1.92683649,-0.22448604,-23.91008186,-42.13513947,-16.39523125,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01907668,-0.01951720,0.99949783,0.00340940,0.04756986,-0.00791024,0.04669423,-0.01953455,0.58460027,-0.80974120,,,,1,0,1771692778093890389
S,30,0,129.41964130,26.34446716,101616.01562500,-0.65875041,-0.67170918,0.32875863,2.34045243,2.14808893,-0.44573846,-23.86066055,-42.16516113,-16.29158974,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01941478,-0.01955757,0.99949729,0.00237383,0.05086470,-0.00218681,0.04577928,-0.02051867,0.58467162,-0.80971748,,,,1,0,1771692778104866493
