state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,est_tilt_angle_degrees,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,113,0,16.303990000000002,335.8536585365854,779.45600143,49.49412537,92585.23437500,-0.73216456,0.68523628,0.04940854,0.10377163,0.04981059,0.99739945,3.90530086,0.22228064,-0.15182303,0.14038818,-21.54403877,-29.44980240,-20.67465019,2.20885229,0.14475822,0.00040201,0.49416524,-0.47091752,0.53010958,0.50301212,,,,1,0,1775328038453262073
S,113,0,16.307109999999998,360.0,779.46696316,49.49345398,92585.29687500,-0.73021251,0.68657845,0.05135953,0.10158020,0.05184847,0.99711156,3.90860891,0.13072790,-0.07552909,0.20142333,-21.59333801,-29.53180313,-20.53973770,2.20930147,0.14209102,0.00039460,0.49417508,-0.47087693,0.53013819,0.50301045,,,,1,0,1775328038464269774
S,113,0,16.29796,355.8536585365853,779.47682036,49.50708008,92586.50000000,-0.72923714,0.68853170,0.05282268,0.09988618,0.05332613,0.99791384,3.92206264,0.04680457,0.00839424,0.05646485,-21.57144165,-29.47153854,-20.54597282,2.20342278,0.13013057,0.00036138,0.49418366,-0.47074193,0.53023189,0.50302976,,,,1,0,1775328038475266438
S,113,0,16.306469999999997,271.95121951219517,779.48947045,49.49009705,92585.92187500,-0.73265028,0.68511546,0.05160026,0.10473490,0.05183494,0.99758005,3.92755103,-0.11341270,0.28305241,0.11750000,-21.51299858,-29.46558189,-20.58390045,2.20173264,0.12525888,0.00034786,0.49417785,-0.47069699,0.53026497,0.50304246,,,,1,0,1775328038486279491
S,113,0,16.295090000000002,374.8780487804878,779.49947038,49.48136902,92585.21875000,-0.73106754,0.68633443,0.04977536,0.10275108,0.05007410,0.99746025,3.93313146,-0.16681845,0.24490546,0.20905273,-21.51583099,-29.41080284,-20.54955673,2.20045042,0.12012921,0.00033362,0.49416131,-0.47066131,0.53028107,0.50307512,,,,1,0,1775328038497269673
S,113,0,16.29511,421.9512195121951,779.51111101,49.49490356,92585.51562500,-0.73119259,0.68596679,0.04612139,0.10293078,0.04639113,0.99728310,3.93482351,-0.30414754,0.43564031,0.08698242,-21.55563354,-29.50325966,-20.63609695,2.20055151,0.11813434,0.00032807,0.49415067,-0.47065654,0.53027731,0.50309402,,,,1,0,1775328038508270041
S,113,0,16.29831,172.92682926829266,779.52212069,49.48866272,92585.50000000,-0.72936141,0.68596590,0.04794997,0.10173106,0.04825765,0.99606156,3.93984675,-0.14393029,0.22201727,-0.14189939,-21.59604836,-29.52661133,-20.57798767,2.19971609,0.11351909,0.00031526,0.49413058,-0.47063142,0.53029037,0.50312352,,,,1,0,1775328038519265908
S,113,0,16.29045,392.9268292682927,779.53218736,49.48414612,92585.28125000,-0.73058420,0.68535501,0.04405129,0.10286671,0.04429162,0.99642467,3.94059253,-0.15155968,0.16098212,-0.04271727,-21.56579971,-29.41564560,-20.46273041,2.20045900,0.11284544,0.00031339,0.49411634,-0.47063932,0.53027749,0.50314367,,,,1,0,1775328038530278424
S,113,0,16.29771,265.8536585365854,779.54341307,49.48539734,92585.78125000,-0.73009598,0.68730903,0.04624472,0.10141814,0.04653120,0.99755788,3.94565797,-0.01423058,0.19149970,0.01831788,-21.47433281,-29.49013329,-20.63174248,2.19920659,0.10789662,0.00029965,0.49410728,-0.47060150,0.53029513,0.50316942,,,,1,0,1775328038541268125
S,113,0,16.294490000000003,310.9756097560976,779.55483733,49.48107910,92586.06250000,-0.72997397,0.68620962,0.04527009,0.10203260,0.04551995,0.99665052,3.94759297,0.15361609,0.18387030,0.13275878,-21.54201889,-29.44013023,-20.49828339,2.19960237,0.10670175,0.00029633,0.49410093,-0.47058997,0.53030604,0.50317478,,,,1,0,1775328038552269807
