state,extension,timestamp,gpsCorrelTimestampFlags,gpsCorrelTimestampTow,gpsCorrelTimestampWeekNum,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,estOrientQuaternionW,estPressureAlt,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,estAttitudeUncertQuaternionX,estAttitudeUncertQuaternionY,estAttitudeUncertQuaternionZ,estAttitudeUncertQuaternionW,estAngularRateX,estAngularRateY,estAngularRateZ,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ
TEST_STATE,0.5,1726608208403384320,6,304.4360046,0,0.0002072528005,-0.05314482749,1.007990718,0.008274650201,0.01801522821,0.01760018244,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208405455616,,,,,,,,,,304.4360046,0,0.003916880582,-0.6482697129,-0.7611699104,-0.01874867268,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.00892522838,0.003813272808,0.003710067831,-0.1031587496,-0.5808194876,9.919433594
TEST_STATE,0.5,1726608208404385536,6,304.4370117,0,-0.003350570099,-0.04178895801,1.004992366,0.01416001841,0.01707397588,0.02676108479,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208405385728,6,304.4379883,0,-0.01568339951,-0.03160874546,1.00745976,0.01537344139,0.02058859728,0.03352001682,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208407454208,,,,,,,,,,304.4379883,0,0.003931765445,-0.6482765675,-0.7611640096,-0.01874823123,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.0107702557,0.01806329936,0.01496267971,-0.01676034927,-0.5107884407,9.900982857
TEST_STATE,0.5,1726608208406385408,6,304.4389954,0,-0.02112476341,-0.01290860772,1.013790488,0.01865019277,0.02893563174,0.03706320003,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208407384064,6,304.4400024,0,-0.0179977417,0.002306735143,1.012334108,0.02326574177,0.03082285821,0.03834759071,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208409451008,,,,,,,,,,304.4400024,0,0.003955220338,-0.6482942104,-0.76114887,-0.01874836162,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.01873523928,0.01727085747,0.03235818446,-0.1429352611,-0.2926636636,9.866048813
TEST_STATE,0.5,1726608208408381952,6,304.4410095,0,-0.01551593468,0.005376778077,1.019146323,0.02718821913,0.03363298997,0.04113348201,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208409378816,6,304.4419861,0,-0.002804798074,0.005538903177,1.016978621,0.02875414863,0.0391176939,0.0404374823,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208411445760,,,,,,,,,,304.4419861,0,0.00398837775,-0.6483198404,-0.7611268759,-0.01874708198,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.02517903782,0.03075736761,0.03639225289,-0.1990590543,0.05388883501,9.949962616
TEST_STATE,0.5,1726608208410374912,6,304.4429932,0,0.01314571965,0.01067928411,1.016691446,0.03351990134,0.043755427,0.04253046587,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208411374848,6,304.4440002,0,0.02172024362,0.009551840834,1.009202123,0.03568508476,0.04590885341,0.0438343659,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208413443584,,,,,,,,,,304.4440002,0,0.004033077508,-0.6483476162,-0.7611029744,-0.01874723658,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03142706677,0.03663611785,0.03860092163,-0.04241115972,0.06361430883,9.998280525
TEST_STATE,0.5,1726608208412373760,6,304.4450073,0,0.02054137923,0.01149899792,1.009456277,0.03811621293,0.04992618784,0.0511982888,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208413371648,6,304.4460144,0,0.02907666564,0.008633687161,1.003201962,0.03974688426,0.04735285789,0.05600418895,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208415439616,,,,,,,,,,304.4460144,0,0.004087421577,-0.6483771801,-0.7610775232,-0.018746797,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03851756454,0.04461428151,0.04141386598,0.2475131899,0.111729905,9.909339905
